sheet,excel_row,keywords,csv_files,content
Missing rate_3 years,2,"energy, electric",ele.csv,Energy use data | ele.csv | mels_S | Miscellaneous electric load for the South Wing | 1 | kW | 15 min | 0.32920657113717056
Missing rate_3 years,3,electric,,mels_N | Miscellaneous electric load for the North Wing | 1 | kW | 15 min | 0.19687564443251993
Missing rate_3 years,4,"lighting, light",,lig_S + | Lighting load for the South Wing | 1 | kW | 15 min | 0.18165896940360587
Missing rate_3 years,5,hvac,,hvac_S | Heating Ventilation and Air Conditioning load for the Sorth Wing | 1 | kW | 15 min | 0.08100638516126434
Missing rate_3 years,6,hvac,,hvac_N | Heating Ventilation and Air Conditioning load for the Nouth Wing | 1 | kW | 15 min | 0.08105390771420433
Missing rate_3 years,7,"temperature, weather",site_weather.csv,Outdoor environmental data | site_weather.csv | air_temp_set_1 | Outdoor air temperature from sensor 1 | 1 | °C | 15 min | 0.0034404915478121927
Missing rate_3 years,8,temperature,,air_temp_set_2 | Outdoor air temperature from sensor 2 | 1 | °C | 15 min | 0.004647506806839521
Missing rate_3 years,9,temperature,,dew_point_temperature | Outdoor air dew temperature of sensor 2 | 1 | °C | 15 min | 0.011043721960897335
Missing rate_3 years,10,humidity,,relative_humidity_set_1 | Outdoor air relative humidity from sensor 1 | 1 | % | 15 min | 0.009104881013868051
Missing rate_3 years,11,solar,,solar_radiation_set_1 | Outdoor solar radiation from sensor 1 | 1 | W/m2 | 15 min | 0.009332978795315316
Missing rate_3 years,12,temperature,zone_temp_sp_c.csv,Indoor environmental data | zone_temp_sp_c.csv | zone_*_cooling_sp | Cooling temperature setpoint of Zone * | 41 | °F | 5 min | 0.05-0.07 | Sep 2018 -- Dec 2020
Missing rate_3 years,13,temperature,zone_temp_sp_h.csv,zone_temp_sp_h.csv | zone_*_heating_sp | Heating temperature setpoint of Zone * | 41 | °F | 5 min | 0.05-0.06
Missing rate_3 years,14,temperature,zone_temp_interior.csv,zone_temp_interior.csv | cerc_templogger_* | Zone temperature of interior zone | 16 | °F | 10 min | 0.01-0.21 | Feb 2018 -- Dec 2020
Missing rate_3 years,15,temperature,zone_temp_exterior.csv,zone_temp_exterior.csv | zone_*_temp | Zone temperature of exterior zone | 51 | °F | 1 min | 0.15-0.20
Missing rate_3 years,16,co2,zone_co2.csv,"zone_co2.csv | zone_*_co2 | CO2 concentration of each zone | 13 | ppm | 1 min | 0-0.1 | Aug -- Dec 2019, Apr -- Dec 2020"
Missing rate_3 years,17,"temperature, hvac",hp_hws_temp.csv,HVAC operational data | hp_hws_temp.csv | hp_hws_temp | Heat pump heating water supply temperature | 1 | °F | 1 min | 0.13839127858602
Missing rate_3 years,18,temperature,rtu_sa_t_sp.csv,"rtu_sa_t_sp.csv | rtu_*_sat_sp_tn | Roof Top Unit * supply air temperature setpoint (*: 001, 002, 003, 004) | 4 | °F | 1 min | 0.15"
Missing rate_3 years,19,temperature,rtu_sa_t.csv,"rtu_sa_t.csv | rtu_*_sa_temp | Roof Top Unit * supply air temperature (*: 001, 002, 003, 004) | 4 | °F | 1 min | 0.14"
Missing rate_3 years,20,temperature,rtu_ra_t.csv,"rtu_ra_t.csv | rtu_*_ra_temp | Roof Top Unit * return air temperature (*: 001, 002, 003, 004) | 4 | °F | 1 min | 0.14"
Missing rate_3 years,21,temperature,rtu_ma_t.csv,"rtu_ma_t.csv | rtu_*_ma_temp | Roof Top Unit * mixed air temperature (*: 001, 002, 003, 004) | 4 | °F | 1 min | 0.14"
Missing rate_3 years,22,temperature,rtu_oa_t.csv,"rtu_oa_t.csv | rtu_*_oa_temp | Roof Top Unit * outdoor air temperature (*: 001, 002, 003, 004) | 4 | °F | 1 min | 0.14"
Missing rate_3 years,31,power,ashp_meter.csv,ashp_meter.csv | aru_001_power_mbtuph | Heat meter for air source heat pump | 1 | mbtuph | 5 min | 0.29 | Aug -- Dec 2020
Missing rate_3 years,32,temperature,ashp_cw.csv,ashp_cw.csv | aru_001_cws_temp | Chilled water supply temperature | 1 | °F | 5 min | 0.01
Missing rate_3 years,33,temperature,,aru_001_cwr_temp | Chilled water return temperature | 1 | °F | 5 min | 0.009390845630869279
Missing rate_3 years,35,temperature,ashp_hw.csv,ashp_hw.csv | aru_001_hws_temp | Hot water supply temperature | 1 | °F | 5 min | 0.16 | Oct 2019 -- Dec 2020
Missing rate_3 years,36,temperature,,aru_001_hwr_temp | Hot water return temperature | 1 | °F | 5 min | 0.16
Missing rate_3 years,40,occupant,occ.csv,Occupant data | occ.csv | occ_third_south | Occupant counts in the south half of third floor | 1 | / | 1 min | 0.0004 | May 2018 -- Feb 2019
Missing rate_3 years,41,occupant,,occ_fourth_south | Occupant counts in the south half of forth floor | 1 | / | 1 min | 0.0004
Missing rate_3 years,42,wifi,wifi.csv,"wifi.csv | wifi_first_south | Wifi connection counts in the south half of first floor | 1 | / | 10 min | 0 | May -- July 2018, Feb -- Dec 2020"
Missing rate_3 years,43,wifi,,wifi_second_south | Wifi connection counts in the south half of second floor | 1 | / | 10 min | 0
Missing rate_3 years,44,wifi,,wifi_third_south | Wifi connection counts in the south half of third floor | 1 | / | 10 min | 0
Missing rate_3 years,45,wifi,,wifi_fourth_south | Wifi connection counts in the south half of forth floor | 1 | / | 10 min | 0
Imputation (archive),3,electric,ele.csv,"electricity consumption data | ele.csv | mels_S | 1 | 15 min | Smaller than 10 hours: Linear
10 hours to 1 day: KNN
Larger than 1 day: MF | 0.47016852890391997"
Imputation (archive),7,hvac,,hvac_S | 1 | 15 min | 0.08684732508526335
Imputation (archive),8,hvac,,hvac_N | 1 | 15 min | 0.08693294518886367
Imputation (archive),9,hvac,hp_hws_temp.csv,"HVAC operation data | hp_hws_temp.csv | hp_hws_temp | 1 | 1 min | Smaller than 1 hour: Linear
1 hour to 10 hours: KNN
Larger than 10 hours: MF | 0.19"
Imputation (archive),16,weather,site_weather.csv,"Outdoor weather data | site_weather.csv | air_temp_set_1 | 1 | 15 min | Smaller than 10 hours: Linear
10 hours to 1 day: KNN
Larger than 1 day: MF | 0.005"
Imputation (archive),18,temperature,,dew_point_temperature | 1 | 15 min | 0.009
Imputation (archive),19,humidity,,relative_humidity_set_1 | 1 | 15 min | 0.006
Imputation (archive),20,solar,,solar_radiation_set_1 | 1 | 15 min | 0.007
Imputation (archive),21,temperature,zone_temp_exterior.csv,Indoor air temperature data | zone_temp_exterior.csv | zone_*_temp | 51 | 1 min | 0.19-0.24
Imputation (archive),25,occupant,occ.csv,Occupant counts | occ.csv | occ_third_south | 1 | 1 min | 0.004 +
Imputation (archive),27,wifi,wifi.csv,Wifi | wifi.csv | wifi_third_south | 1 | 10 min | 0 + +
Imputation (archive),28,wifi,,wifi_fourth_south | 1 | 10 min | 0 + +
Imputation (archive),29,co2,zone_co2.csv,CO2 concentration | zone_co2.csv | zone_*_co2 | 13 | 1 min | 0-0.1 + + +
Sheet1,3,electric,ele.csv,"Electricity consumption data | ele.csv
9% ~ 47% | mels_S | Miscellaneous electric load for the South Wing | 1 | 15 | 0.47016852890391997 | 0 | 0 | 0 | 11 | 11.291666666666666 | Smaller than 10 hour: Linear
10 hour to 1 day: KNN
Larger than 1 day: MF | Linear interpolation | filter <0 | 2018-01-01 01:00:00 | 2020-01-01 00:00:00 | 1051140 | 70077 | 65632 | 37129 | 28503 | 0"
Sheet1,4,electric,,mels_N | Miscellaneous electric load for the North Wing | 1 | 15 | 0.2713443783266978 | 0 | 0 | 0 | 8 | 6.3125 | filter <0 | 2018-01-01 01:00:00 | 2020-01-01 00:00:00 | 1051140 | 70077 | 65632 | 51062 | 14570 | 0
