incident_id,start_time,end_time,duration_minutes,alarm_points,direction,peak_severity,peak_anomaly_score,dominant_root_cause,mean_attribution_strength,max_attribution_strength,max_positive_deviation_kw,max_negative_deviation_kw,mean_abs_deviation_kw,peak_observed_kw,min_observed_kw,peak_forecast_kw
1,2020-08-16 10:45:00,2020-08-16 11:00:00,30.0,2,LOW_CONSUMPTION,CRITICAL,2.563711686748461,UNEXPLAINED LOAD,,,-11.20810317993164,-21.197784423828125,16.202943801879883,53.36362075805664,43.96923828125,65.16702270507812
2,2020-08-16 11:15:00,2020-08-16 11:15:00,15.0,1,HIGH_CONSUMPTION,WARNING,1.3701147007130992,HVAC SOUTH,96.79173004707069,96.79173004707069,11.328651428222656,11.328651428222656,11.328651428222656,55.661502838134766,55.661502838134766,44.33285140991211
3,2020-08-16 12:45:00,2020-08-16 12:45:00,15.0,1,LOW_CONSUMPTION,WARNING,1.217738506918421,UNEXPLAINED LOAD,,,-10.068744659423828,-10.068744659423828,10.068744659423828,52.570655822753906,52.570655822753906,62.639400482177734
4,2020-08-16 14:30:00,2020-08-16 14:30:00,15.0,1,LOW_CONSUMPTION,WARNING,1.224078499273706,UNEXPLAINED LOAD,,,-10.121166229248047,-10.121166229248047,10.121166229248047,48.79056930541992,48.79056930541992,58.91173553466797
5,2020-08-16 15:00:00,2020-08-16 15:00:00,15.0,1,HIGH_CONSUMPTION,WARNING,1.3211271640898625,HVAC SOUTH,95.80910445454543,95.80910445454543,10.923603057861328,10.923603057861328,10.923603057861328,60.782772064208984,60.782772064208984,49.859169006347656
6,2020-08-16 16:00:00,2020-08-16 16:00:00,15.0,1,HIGH_CONSUMPTION,WARNING,1.168325597499989,HVAC SOUTH,98.01510990736101,98.01510990736101,9.660179138183594,9.660179138183594,9.660179138183594,66.50540161132812,66.50540161132812,56.84522247314453
7,2020-08-16 18:45:00,2020-08-16 18:45:00,15.0,1,LOW_CONSUMPTION,WARNING,1.0110234760108427,UNEXPLAINED LOAD,,,-8.359542846679688,-8.359542846679688,8.359542846679688,64.83401489257812,64.83401489257812,73.19355773925781
8,2020-08-16 19:15:00,2020-08-16 19:15:00,15.0,1,HIGH_CONSUMPTION,WARNING,1.078262827331171,HVAC SOUTH,96.74513985159717,96.74513985159717,8.915504455566406,8.915504455566406,8.915504455566406,74.67668151855469,74.67668151855469,65.76117706298828
9,2020-08-16 20:30:00,2020-08-16 20:30:00,15.0,1,LOW_CONSUMPTION,WARNING,1.2483298235464142,UNEXPLAINED LOAD,,,-10.321685791015625,-10.321685791015625,10.321685791015625,66.72273254394531,66.72273254394531,77.04441833496094
10,2020-08-16 23:00:00,2020-08-16 23:00:00,15.0,1,LOW_CONSUMPTION,WARNING,1.155813547385353,UNEXPLAINED LOAD,,,-9.556724548339844,-9.556724548339844,9.556724548339844,67.98875427246094,67.98875427246094,77.54547882080078
11,2020-08-17 00:15:00,2020-08-17 00:15:00,15.0,1,HIGH_CONSUMPTION,WARNING,1.150634333720644,HVAC SOUTH,99.74740087168331,99.74740087168331,9.513900756835938,9.513900756835938,9.513900756835938,80.12531280517578,80.12531280517578,70.61141204833984
12,2020-08-17 02:45:00,2020-08-17 03:15:00,45.0,3,LOW_CONSUMPTION,HIGH,1.6534042164962983,UNEXPLAINED LOAD,,,-9.438793182373047,-13.671001434326172,11.126080830891928,56.76374435424805,45.27920150756836,66.2025375366211
13,2020-08-17 04:30:00,2020-08-17 04:45:00,30.0,2,HIGH_CONSUMPTION,HIGH,2.101375748814135,HVAC SOUTH,97.03277337801484,97.39148207921151,17.37500762939453,12.88589859008789,15.130453109741211,67.67899322509766,62.103973388671875,50.303985595703125
14,2020-08-17 05:30:00,2020-08-17 05:30:00,15.0,1,LOW_CONSUMPTION,WARNING,1.4018331168407259,UNEXPLAINED LOAD,,,-11.590911865234375,-11.590911865234375,11.590911865234375,54.47130584716797,54.47130584716797,66.06221771240234
15,2020-08-17 06:15:00,2020-08-17 06:30:00,30.0,2,LOW_CONSUMPTION,HIGH,1.664341187735884,UNEXPLAINED LOAD,,,-10.10202407836914,-13.761432647705078,11.93172836303711,44.60980987548828,42.29154968261719,56.052982330322266
16,2020-08-17 07:15:00,2020-08-17 07:30:00,30.0,2,HIGH_CONSUMPTION,WARNING,1.3290736077172405,HVAC SOUTH,93.88100578435115,93.91685891775357,10.989307403564453,10.158824920654297,10.574066162109375,58.12139892578125,57.29121017456055,47.96257400512695
17,2020-08-17 07:45:00,2020-08-17 08:00:00,30.0,2,LOW_CONSUMPTION,WARNING,1.4379736568750185,UNEXPLAINED LOAD,,,-11.617080688476562,-11.88973617553711,11.753408432006836,45.759117126464844,44.29365921020508,57.376197814941406
18,2020-08-17 08:15:00,2020-08-17 08:30:00,30.0,2,HIGH_CONSUMPTION,WARNING,1.4016476506111504,HVAC SOUTH,94.84354416564265,95.12417933362377,11.589378356933594,9.273540496826172,10.431459426879883,55.731693267822266,54.78212356567383,45.508583068847656
19,2020-08-17 14:30:00,2020-08-17 14:45:00,30.0,2,LOW_CONSUMPTION,WARNING,1.3650212997814775,UNEXPLAINED LOAD,,,-8.959796905517578,-11.286537170410156,10.123167037963867,56.24483871459961,50.5440673828125,65.20463562011719
20,2020-08-17 18:00:00,2020-08-17 18:15:00,30.0,2,LOW_CONSUMPTION,WARNING,1.4817063169936202,UNEXPLAINED LOAD,,,-9.077651977539062,-12.251335144042969,10.664493560791016,52.305397033691406,49.00225067138672,61.38304901123047
21,2020-08-17 18:30:00,2020-08-17 18:45:00,30.0,2,HIGH_CONSUMPTION,HIGH,1.9252732570384319,HVAC SOUTH,97.81323902424657,98.30356712759203,15.918922424316406,11.296279907226562,13.607601165771484,65.9024887084961,64.22859954833984,52.93231964111328
22,2020-08-17 19:45:00,2020-08-17 19:45:00,15.0,1,HIGH_CONSUMPTION,WARNING,1.1561180441801782,HVAC SOUTH,100.0,100.0,9.559242248535156,9.559242248535156,9.559242248535156,72.25753021240234,72.25753021240234,62.69828796386719
